,mpa_id,search,plan_id,notes,network,name,orig_name,country,sovereign,sub_locati,designatio,designat_1,designat_2,marine,status,status_yea,no_take,no_take_ar,rep_m_area,calc_m_are,rep_area,calc_area,fishing,fishing_in
320,5147,F,51,NA,South-east Marine Parks,Freycinet - Marine National Park Zone,Freycinet,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2012,All,56792.65417,56792,56792.65417,56792,56792.65417,No,No commercial or recreational fishing allowed.
65,68808757,F,51,NA,South-east Marine Parks,Macquarie Island,Macquarie Island,AUS,AUS,AU-TAS,Nature Reserve,Nature Reserve,National,2,Designated,2000,All,726.9169747,737,726.9169747,737,737.3916631,Unknown,NA
67,7705150,F,51,NA,South-east Marine Parks,Macquarie Island - Sanctuary Zone,Macquarie Island,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2012,All,57137.10713,57137,57137.10713,57137,57137.10709,No,Fishing is Prohibited
278,7703904,NF,NA,NA,NA,French Island,French Island,AUS,AUS,AU-VIC,Marine National Park,Marine National Park,National,2,Designated,2002,All,27.70060439,29,27.70060439,29,29.79639327,No,All fishing is prohibited.
334,3904,NF,NA,NA,NA,French Island,French Island,AUS,AUS,AU-VIC,Marine National Park,Marine National Park,National,2,Designated,2002,All,27.70060439,29,27.70060439,29,29.79639327,No,All fishing is prohibited.
227,5151,F,51,NA,South-east Marine Parks,Murray - National Park Zone,Murray,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2012,All,12749.79481,12749,12749.79481,12749,12749.79484,No,No commercial or recreational fishing allowed.
267,68808373,F,51,NA,South-east Marine Parks,Tasman Fracture - Marine National Park Zone,Tasman Fracture,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2012,All,692.1248386,692,692.1248386,42501,692.1248386,No,No commercial or recreational fishing allowed.
415,15007,F,53,NA,Temperate East Marine Parks,Norfolk - National Park Zone,Norfolk,NFK,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2012,All,41660.66641,41660,41660.66641,41660,41660.66653,Unknown,NA
61,68808879,F,54,NA,NA,Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD,AUS,AU-COM,Marine Reserve,Marine Reserve,National,2,Designated,2002,All,70588.52437,70952,70588.52437,70952,70952.5355,Unknown,NA
652,68813451,F,55,NA,NA,Revillagigedo - Zona Núcleo,Revillagigedo - Zona Núcleo,MEX,MEX,Not Reported,Parque Nacional,National Park,National,2,Designated,2017,All,147898.6677,147929,147898.6677,148079,148059.4105,Unknown,NA
693,67704213,F,56,NA,NA,Cabo Pulmo,Cabo Pulmo,MEX,MEX,MX-BCS,Parque Nacional,National Park,National,2,Designated,2000,All,70.38980743,70,70.38980743,71,71.01017609,No,Commercial and recreational fishing are prohibited throughout the park with some sustenance use allowed.
1170,6919,F,57,NA,NA,Ngermasech Conservation Area,Ngermasech Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,2005,All,2.792639942,2,2.792639942,2,2.930566086,No,NA
1100,68817054,F,58,NA,NA,Chiul Conservation Area,Chiul Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,1,Designated,0,All,0.1212781261,0,0.1212781261,0,0.3539967693,Unknown,NA
1105,68817045,F,58,NA,NA,Olterukl Conservation Area,Olterukl Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,1999,All,0.6098572001,0,0.6098572001,0,0.7031972304,Unknown,NA
1118,68812501,F,58,NA,NA,Oruaol Ibuchel Conservation Area,Oruaol Ibuchel Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,2006,All,0.3149303958,0,0.3149303958,0,0.3149303828,Unknown,NA
1096,68817071,F,59,NA,NA,Ngemelis Island Complex,Ngemelis Island Complex,PLW,PLW,Not Reported,Zone Management Area,Zone Management Area,National,2,Designated,1999,All,38.34170286,0,38.34170286,0,40.37247156,Unknown,NA
1097,68817070,F,59,NA,NA,Ngemelachel-Ngederrak Seagrass Beds,Ngemelachel-Ngederrak Seagrass Beds,PLW,PLW,Not Reported,Zone Management Area,Zone Management Area,National,2,Designated,2005,All,5.886989801,5,5.886989801,5,5.886989801,Unknown,NA
1116,68812505,F,59,NA,NA,Ngemai Conservation Area,Ngemai Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,1997,All,0.9790072739,2,0.9790072739,2,1.043787361,Unknown,NA
1174,6424,F,59,NA,NA,Ngerumekaol Spawning Area,Ngerumekaol Spawning Area,PLW,PLW,Not Reported,Zone Management Area,Zone Management Area,National,2,Designated,2000,All,4.816929688,4,4.816929688,4,4.816929688,No,NA
1175,5929,F,59,NA,NA,Ngerukewid Island Wildlife Preserve,Ngerukewid Island Wildlife Preserve,PLW,PLW,Not Reported,Zone Management Area,Zone Management Area,National,1,Designated,1999,All,10.19465731,0,10.19465731,0,11.3584238,No,NA
1103,68817051,F,60,NA,NA,Northern Reef Fisheries Management Project,Northern Reef Fisheries Management Project,PLW,PLW,Not Reported,Co-Management Area,Co-Management Area,National,2,Designated,0,Part,388.6899811,3900,3886.899811,3900,3900.936426,Unknown,NA
1115,68812511,F,61,NA,NA,Teluleu Conservation Area,Teluleu Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,2001,All,0.7683854275,1,0.7683854275,1,0.7683854275,Unknown,NA
1099,68817058,F,62,NA,NA,Ngkesol Barrier Reef,Ngkesol Barrier Reef,PLW,PLW,Not Reported,Co-Management Area,Co-Management Area,National,2,Designated,0,All,109.6735952,109,109.6735952,109,109.6735953,Unknown,NA
1098,68817069,F,63,NA,NA,Ebiil Channel Conservation Zone,Ebiil Channel Conservation Zone,PLW,PLW,Not Reported,Co-Management Area,Co-Management Area,National,2,Designated,2008,All,17.81138198,17,17.81138198,17,17.8113808,Unknown,NA
1102,68817052,F,64,NA,NA,Helen Reef Conservation Area,Helen Reef Conservation Area,PLW,PLW,Not Reported,Conservation Area,Conservation Area,National,2,Designated,2004,All,70.19184647,106,70.19184647,106,106.4133028,Unknown,NA
1106,68817042,F,65,NA,NA,Medal Ngediull Conservation Area,Medal Ngediull Conservation Area,PLW,PLW,Not Reported,Fishing Reserve,Fishing Reserve,National,1,Designated,2008,All,2.607019206,0,2.607019206,0,3.192822079,Unknown,NA
107,67704828,F,66,NA,NA,De Hoop Marine Protected Area,De Hoop Marine Protected Area,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,All,285.7931773,288,285.7931773,288,288.8398457,No,"No fishing is allowed between beacon DH1 at Still Bay Point and beacon DH2 between Rys Point and Skipskop, extending three 
nautical miles seawards from the high-water mark.

Bottom Trawling is Prohibited"
106,67704830,F,67,NA,NA,Helderberg Marine Protected Area,Helderberg Marine Protected Area,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,All,2.397610605,2,2.397610605,2,2.397610605,No,"No fishing is allowed between the mouth of the Eerste River and the mouth of the Lourens River in False Bay, extending 500m seawards from the high-water mark."
127,4829,F,68,NA,NA,Goukamma Marine Protected Area,Goukamma Marine Protected Area,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,Part,3.346506923,33,33.46506923,33,33.96577799,Unknown,NA
104,67704832,F,69,NA,NA,Langebaan Lagoon Marine Protected Area,Langebaan Lagoon Marine Protected Area,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,1,Designated,2000,Part,4.424789504,34,44.24789504,46,46.72243167,Some Restrictions,"Langebaan Lagoon is divided into three zones: Controlled, Restricted and Sanctuary. Recreational fishing and power-boating are only allowed in the northern-most zone.

Langebaan Lagoon MPA has been zoned as follows. (Note that zones have not been named"
62,68808363,F,70,NA,NA,Prince Edward Islands - Sanctuary Zone,NA,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,2,Designated,2013,All,4439.326012,0,4439.326012,0,4440.572608,No,"No fishing allowed in the Sanctuary Zone. 
Any vessel passing through area must have all fishing gear stowed."
100,67704841,F,71,NA,NA,Tsitsikamma Marine Protected Area,Tsitsikamma Marine Protected Area,ZAF,ZAF,ZA-EC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,All,289.6927278,293,289.6927278,293,292.635525,Some Restrictions,"Four ""controlled areas"" created in 2015 for shore-based recreational fishing by local residents."
113,60000131,F,71,NA,NA,Tsitsikamma,Garden Route National Park,ZAF,ZAF,ZA-EC,National Park,National Park,National,1,Designated,2000,Part,0,7.15,1.333555126,298.38,138.6270814,Some Restrictions,"Within the Marine Restricted zone (MPA): The marine areas of the park except the Groot River estuary, the marine areas west of Nature's Valley and Nature's Valley beach were classified as Restricted Marine Protected Areas in accordance with the appropria"
108,67704827,F,72,NA,NA,Betty's Bay Marine Protected Area,Betty's Bay Marine Protected Area,ZAF,ZAF,ZA-WC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,Part,2.002904705,20,20.02904705,20,20.13799866,Some Restrictions,"Only shore angling is allowed between beacon B1 at Stoney Point and beacon B4, to the east of Jock-se-baai, extending approximately two nautical miles seawards from the high-water mark."
90,68808158,F,73,NA,NA,Aliwal Shoal,NA,ZAF,ZAF,NA,Marine Protected Area,Marine Protected Area,NA,1,Designated,2019,Not Reported,0,0,677.5299655,0,678.0835206,Some Restrictions,"Control of activities in Sanctuary Zone

(1) No person shall fish, or attempt to fish, in the ASISZ or ASOSZ,
including collecting or harvesting of invertebrates or intertidal
organisms.

(2) No person may trample on rocks, engage in fossiking, col"
110,67704045,F,73,NA,NA,Aliwal Shoal Marine Protected Area,Aliwal Shoal Marine Protected Area,ZAF,ZAF,ZA-NL,Marine Protected Area,Marine Protected Area,National,2,Designated,2004,Part,12.41217167,124,124.1217167,124,124.5779177,Some Restrictions,"No fishing is allowed in the Crown area restricted zone, near Umkomaas, nor around the wreck of the Produce."
130,3641,F,74,NA,NA,Dwesa-Cwebe Marine Protected Area,Dwesa-Cwebe Marine Protected Area,ZAF,ZAF,ZA-EC,Marine Protected Area,Marine Protected Area,National,2,Designated,2000,Part,26.13504354,265,261.3504354,265,265.0470578,Some Restrictions,"Shore-based fishing allowed in ""Controlled Areas"""
1019,452,F,75,NA,NA,Sundarban West,সুন্দরবন পশ্চিম,BGD,BGD,BD-58,Wildlife Sanctuary,Wildlife Sanctuary,National,1,Designated,1996,All,392.7322476,0,392.7322476,715,812.2683543,No,NA
1020,451,F,75,NA,NA,Sundarban South,সুন্দরবন দক্ষিণ,BGD,BGD,BD-27,Wildlife Sanctuary,Wildlife Sanctuary,National,1,Designated,1996,All,246.8021792,0,246.8021792,369,451.6584,No,NA
1021,450,F,75,NA,NA,Sundarban East,সুন্দরবন পূর্ব,BGD,BGD,BD-05,Wildlife Sanctuary,Wildlife Sanctuary,National,1,Designated,1996,All,170.9939865,0,170.9939865,312,405.952327,No,NA
767,68810655,F,76,NA,NA,Virgin Gorda,Virgin Gorda,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,2,Proposed,0,All,0.5692434828,0,0.5692434828,0,0.5724282941,Unknown,NA
768,68810653,F,76,NA,NA,RMS Rhone anchor,RMS Rhone anchor,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Designated,1980,All,0.06901708103,0,0.06901708103,0,0.06901708103,Unknown,NA
769,68810649,F,76,NA,NA,Virgin Gorda north,Virgin Gorda north,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,2,Proposed,0,All,14.0510865,0,14.0510865,14,14.0510865,Unknown,NA
770,68810644,F,76,NA,NA,Long Bay,Long Bay,VGB,GBR,Not Reported,Marine Park,Marine Park,National,1,Proposed,0,All,0.1951335489,0,0.1951335489,0,0.2315473309,Unknown,NA
771,68810641,F,76,NA,NA,"Green Cay, Sandy Cay, Sandy Spit","Green Cay, Sandy Cay, Sandy Spit",VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Proposed,0,All,2.943348849,0,2.943348849,3,3.069891607,Unknown,NA
772,68810637,F,76,Proposed at time of MP found,NA,Thomas George Bay,Thomas George Bay,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Proposed,0,All,0.07201832745,0,0.07201832745,0,0.07700176338,Unknown,NA
773,68810631,F,76,NA,NA,Virgin Gorda,Virgin Gorda,VGB,GBR,Not Reported,Marine Park,Marine Park,National,1,Proposed,0,All,0.3549388763,0,0.3549388763,0,0.4520501349,Unknown,NA
774,68810629,F,76,Proposed at time of MP found,NA,Great Thatch,Great Thatch,VGB,GBR,Not Reported,Marine Park,Marine Park,National,1,Proposed,0,All,0.3103008752,0,0.3103008752,0,0.3864811699,Unknown,NA
775,68810627,F,76,NA,NA,Sopers Hole,Sopers Hole,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,1,Proposed,0,All,0.0007254314345,0,0.0007254314345,0,0.04319892247,Unknown,NA
776,68810623,F,76,NA,NA,Ginger Island,Ginger Island,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,1,Proposed,0,All,0.2679414333,0,0.2679414333,0,0.3502939596,Unknown,NA
777,68810622,F,76,Proposed at time of MP found,NA,Anegada south west,Anegada south west,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,2,Proposed,0,All,0.9502243756,0,0.9502243756,0,0.9502243756,Unknown,NA
778,68810619,F,76,NA,NA,Frenchmans Cay,Frenchmans Cay,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,1,Proposed,0,All,0.09622807265,0,0.09622807265,0,0.132854024,Unknown,NA
779,68810618,F,76,NA,NA,Beef Island,Beef Island,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Proposed,0,All,0.8248317448,0,0.8248317448,0,0.8644063416,Unknown,NA
781,68810615,F,76,NA,NA,Beef Island,Beef Island,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,1,Proposed,0,All,0.3774311667,0,0.3774311667,0,0.4169651709,Unknown,NA
782,68809816,F,76,NA,NA,Guana Is.,Guana Island PA,VGB,GBR,GB-VG,Fisheries Protected,Fisheries Protected,National,1,Proposed,0,All,0.2303304098,0,0.2303304098,0,0.2411034082,Unknown,NA
839,6519,F,76,NA,NA,Horseshoe Reef,Horseshoe Reef,VGB,GBR,Not Reported,Fisheries Protected,Fisheries Protected,National,2,Proposed,0,All,37.24381813,0,37.24381813,37,37.55431277,Unknown,NA
840,6307,F,76,NA,NA,Peter Island,Peter Island,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Proposed,0,All,3.746875277,0,3.746875277,3,3.912186005,Unknown,NA
841,6299,F,76,NA,NA,Salt and Cooper Is,Cooper Island,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Proposed,0,All,2.433484962,0,2.433484962,2,2.810480271,Unknown,NA
894,11,F,76,NA,NA,RMS Rhone,Wreck of the Rhone,VGB,GBR,Not Reported,Marine Park,Marine Park,National,2,Designated,1980,All,2.499451409,0,2.499451409,2,2.692926424,Unknown,NA
30,4743,F,77,NA,Also Auckland Conservation Management Strategy,Kermadec Islands,Kermadec Islands,NZL,NZL,NZ-AUK,Marine Reserve,Marine Reserve,National,2,Designated,1990,All,7549.75484,7674,7549.75484,7674,7552.497146,No,Fishing is Prohibited
17,12323,F,78,NA,NA,Rose Atoll,NA,ASM,USA,US-AS,Marine National Monument,Marine National Monument,National,1,Designated,2009,All,34783.78748,34838,34783.78748,34837,34783.88596,Some Restrictions,All fishing prohibited within 12nm of Rose Atoll. Commercial Fishing Prohibited and Recreational Fishing Restricted in monument. Fishermen who harvest fishery resources under a non-commercial fishing permit may engage in customary exchange which helps to
27,8847,F,78,NA,NA,Rose Atoll,NA,ASM,USA,US-AS,National Wildlife Refuge,National Wildlife Refuge,National,1,Designated,1973,All,157.5896056,158,157.5896056,158,157.6880837,No,"Commercial and Recreational Fishing Prohibited. Fishing is prohibited in all no-take MPAs. The following U.S. EEZ waters around American Samoa are no-take MPAs: Landward of the 50 fm (91.5 m) curve around Rose Atoll, as depicted on National Ocean Survey"
28,8694,F,78,NA,NA,Fagatele Bay Unit of National Marine Sanctuary of American Samoa,NA,ASM,USA,US-AS,National Marine Sanctuary,National Marine Sanctuary,National,1,Designated,1986,All,0.529048164,0,0.529048164,0,0.7088748789,No,"In addition to the prohibitions set forth in § 922.103 and § 922.104, the following regulations apply to activities conducted within specified Sanctuary units described in the appendix to this subpart.
(a) The following activities are prohibited in th"
901,68808318,F,79,NA,Florida Keys National Marine Sanctuary,Dry Tortugas,NA,USA,USA,US-FL,Research Natural Area,Research Natural Area,NA,1,Designated,0,All,119.2596996,0,119.2596996,119,119.5946591,No,NA
902,68808219,F,79,NA,Florida Keys National Marine Sanctuary,Florida Keys - Special Use Research Only Areas,NA,USA,USA,US-FL,National Marine Sanctuary,National Marine Sanctuary,NA,1,Designated,1997,All,2.094224316,0,2.094224316,0,2.094224324,No,"Not permitted: Fishing by any means; removing, harvesting, or possessing any marine life."
903,68808218,F,79,NA,Florida Keys National Marine Sanctuary,Western Sambo,NA,USA,USA,US-FL,Ecological Reserve,Ecological Reserve,NA,1,Designated,0,All,29.8995803,30,29.8995803,30,30.14314046,No,"Fishing by any means; removing, harvesting, or possessing any marine life."
904,68808217,F,79,NA,Florida Keys National Marine Sanctuary,Florida Keys - Sanctuary Preservation Areas,NA,USA,USA,US-FL,National Marine Sanctuary,National Marine Sanctuary,NA,1,Designated,1997,All,16.50234873,14,16.50234873,14,16.50234874,No,"Fishing by any means; removing, harvesting, or possessing any marine life. Catch and release fishing by trolling is allowed in Conch Reef, Alligator Reef, Sombrero Reef, and Sand Key SPAs only."
911,8598,F,79,NA,Florida Keys National Marine Sanctuary,Dry Tortugas,NA,USA,USA,US-FL,Ecological Reserves,Ecological Reserves,National,1,Designated,2002,All,469.7422316,0,469.7422316,0,469.7422359,No,"•Fishing by any means; removing, harvesting, or possessing any marine life"
706,8143,F,80,NA,He'ia National Estuarine Research Reserve,Moku-o-loe Island (Coconut Island),NA,USA,USA,US-HI,Marine Laboratory Refuge,Marine Laboratory Refuge,National,1,Designated,1953,All,0.2120896636,0,0.2120896636,0,0.2963277771,No,"Commercial and Recreational Fishing Prohibited

Prohibited
Unlawful to take any aquatic life from within the boundaries of the refuge.

Exceptions
This restriction does not apply to any officer, faculty member, employee or student of the University"
709,8135,F,81,NA,NA,Molokini Shoal,NA,USA,USA,US-HI,Marine Life Conservation District,Marine Life Conservation District,National,1,Designated,1977,Part,0.02817791101,0,0.2817791101,0,0.3554574145,Some Restrictions,"Commercial and Recreational Fishing Restricted

Permitted activities:

To fish for, take, or possess any finfish by trolling in Subzone B only.
To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector."
63,68808359,F,82,NA,NA,Terres Australes Françaises [Strict Marine Protection Zone],Réserve Naturelle Nationale des Terres australes françaises,ATF,FRA,FRZZ,Réserve Naturelle Nationale,National Nature Reserve,National,2,Designated,2016,All,120298.8422,120250,120298.8422,120250,120456.0738,No,All profession and recreational fishing is prohibited.
790,67706929,F,83,NA,NA,St. Eustatius (Statia),St. Eustatius (Statia),BES,NLD,Not Reported,Marine Park,Marine Park,National,1,Designated,1996,Part,5.5,27,22.97190036,27,25.34878837,Some Restrictions,"Zoning, if applicable, and the basic regulations applied to the zones (attach in Annex a copy of the zoning map)

Name	Basic regulation applied to the zone
reserve	no-take and no-anchoring
general use	no anchoring, fishery restrictions (size, gear),"
866,2589,F,84,NA,NA,Bacalar Chico,Bacalar Chico,BLZ,BLZ,BZ-BZ,Bacalar Chico Marine Reserve,Marine Reserve,National,1,Designated,1996,Part,18,65,61.81710139,63,64.52755452,Some Restrictions,"The marine reserve is zoned.  

General Use Zone- fishing by current permit holders, gear restrictions
Conservation I Zone- non extraxtive recreational use
Conservation II Zone- sport fishing with licence- catch and release
Preservation Zone- no fis"
784,68808482,F,85,NA,NA,Caye Caulker,Caye Caulker,BLZ,BLZ,BZ-BZ,Caye Caulker Marine Reserve,Marine Reserve,National,2,Designated,1998,All,38.99535732,39,38.99535732,39,39.15544926,Unknown,"1. General Use Zone
No person is permitted to use long lines, spear guns or gill nets in the Reserve unless authorized by the Fisheries Administrator.
No person shall, within the General use zone, cast or drag any anchor in any manner which may damage"
785,68808481,F,85,NA,NA,Caye Caulker,Caye Caulker,BLZ,BLZ,BZ-BZ,Caye Caulker Marine Reserve,Marine Reserve,National,2,Designated,1998,All,38.99535732,39,38.99535732,39,39.15544926,Unknown,"1. General Use Zone
No person is permitted to use long lines, spear guns or gill nets in the Reserve unless authorized by the Fisheries Administrator.
No person shall, within the General use zone, cast or drag any anchor in any manner which may damage"
855,3660,F,85,NA,NA,Caye Caulker,Caye Caulker,BLZ,BLZ,BZ-BZ,Caye Caulker Marine Reserve,Marine Reserve,National,2,Designated,1998,All,38.99535732,39,38.99535732,39,39.15544926,Some Restrictions,"1. General Use Zone
No person is permitted to use long lines, spear guns or gill nets in the Reserve unless authorized by the Fisheries Administrator.
No person shall, within the General use zone, cast or drag any anchor in any manner which may damage"
859,3581,F,86,NA,NA,Gladden Spit and Silk Cayes,Gladden Spit and Silk Cayes,BLZ,BLZ,BZ-SC,Gladden Spit and Silk Cayes Marine Reserve,Marine Reserve,National,2,Designated,2000,Part,16,105,105.1882553,103,105.1882553,Some Restrictions,"Gladden Spit & Silk Cayes Marine Reserve has four zones: General Use, a small No-take area around the Silk Cayes and one behind the reef as a conch nursery, and the Whale Shark Zone. Each zone has its own rules and regulations."
867,1859,F,87,NA,NA,Laughing Bird Caye,Laughing Bird Caye,BLZ,BLZ,BZ-SC,National Park,National Park,National,2,Designated,1996,All,40.91286967,40,40.91286967,40,40.9694136,No,NA
863,2592,F,88,NA,NA,Sapodilla Cayes,Sapodilla Cayes,BLZ,BLZ,BZ-TOL,Sapodilla Cayes Marine Reserve,Marine Reserve,National,2,Designated,1996,Part,30,156,156.013103,156,156.2296802,Some Restrictions,NA
865,2590,F,89,NA,NA,South Water Caye,South Water Caye,BLZ,BLZ,BZ-SC,South Water Caye Marine Reserve,Marine Reserve,National,2,Designated,1996,Part,89.9,477,469.7527989,477,477.1758449,Some Restrictions,"General Use Zone
•The General Use Zone is restricted to fishing by licensed fisherman who currently use this Zone and a fisherman who is desirous of fishing in this Zone shall apply for a license to fish in accordance with these Regulations.
•Resid"
763,68813040,F,90,NA,NA,Glover's Reef,Glover's Reef,BLZ,BLZ,Not Reported,Specially Protected Area (Cartagena Convention),Specially Protected Area (Cartagena Convention),Regional,2,Designated,1993,Part,8,326,325.8344714,350,326.7583919,Unknown,NA
864,2591,F,90,NA,NA,Glover's Reef,Glover's Reef,BLZ,BLZ,BZ-BZ,Glover's Reef Marine Reserve,Marine Reserve,National,2,Designated,1993,Part,73.47,326,325.8344714,350,326.7583919,Some Restrictions,NA
856,3659,F,91,NA,NA,Blue Hole,Blue Hole,BLZ,BLZ,BZ-BZ,Natural Monument,Natural Monument,National,2,Designated,1996,All,4.143012426,4,4.143012426,4,4.143012426,No,NA
888,266,F,91,NA,NA,Halfmoon Caye,Halfmoon Caye,BLZ,BLZ,BZ-BZ,Natural Monument,Natural Monument,National,2,Designated,1982,All,39.39095212,39,39.39095212,39,39.57064238,No,NA
762,68813041,F,92,NA,NA,Hol Chan,Hol Chan,BLZ,BLZ,Not Reported,Specially Protected Area (Cartagena Convention),Specially Protected Area (Cartagena Convention),Regional,2,Designated,1987,Part,4,13,50.70564697,53,55.34258894,Unknown,NA
885,930,F,92,NA,NA,Hol Chan,Hol Chan,BLZ,BLZ,BZ-BZ,Hol Chan Marine Reserve,Marine Reserve,National,2,Designated,1987,Part,5,13,50.70564697,53,55.3425891,Some Restrictions,"Zone A -- The Reef (Cut) 

No fishing or collecting is permitted; 
Zone A includes the reef and is covered with almost every type of coral found in the Caribbean. 

Zones B and C -- The Seagrass Beds (Lagoon) and The Mangroves 

No spearing or net"
128,3800,F,93,NA,NA,Dar es Salaam,Dar es Salaam,TZA,TZA,Not Reported,Marine Reserve,Marine Reserve,National,2,Designated,1975,All,30.22940627,26,30.22940627,26,31.98827009,No,NA
137,2495,F,94,NA,NA,Mafia Island,Mafia Island,TZA,TZA,Not Reported,Marine Park,Marine Park,National,1,Designated,1995,Part,7,615,628.0470115,822,894.7553688,Unknown,NA
964,68808743,F,95,NA,NA,Flamborough Head [No-Take Zone],NA,GBR,GBR,GB-ENG,Special Areas of Conservation (Habitats Directive),Special Areas of Conservation (Habitats Directive),NA,1,Designated,1996,All,0.8360696977,1,0.8360696977,1,0.9454226596,No,Prohibited in no-take zone
963,68808742,F,96,NA,NA,Lundy [no-take zone],NA,GBR,GBR,NA,Marine Conservation Zone,Marine Conservation Zone,National,1,Designated,2013,All,3.484278015,3,3.484278015,3,3.626135978,No,Fishing prohibited within no-take zone
917,68808137,F,97,NA,NA,Rosia,NA,GIB,GBR,NA,Marine Conservation Zone,Marine Conservation Zone,National,1,Designated,2014,Part,0,0,0.1800193228,0,0.2048521561,Some Restrictions,Fishing by permit only
918,68808135,F,97,NA,NA,Eastern,NA,GIB,GBR,NA,Marine Conservation Zone,Marine Conservation Zone,National,1,Designated,2014,Part,0,0,2.924672105,0,2.98068327,Some Restrictions,Fishing by permit only
56,1411,F,98,NA,NA,Estação Ecológica Dos Tupiniquins,Estação Ecológica Dos Tupiniquins,BRA,BRA,Not Reported,Estação Ecológica,Ecological Station,National,2,Designated,1986,All,16.73491,0,16.73491,17,17.27692129,No,Fishing is prohibited
46,4916,F,99,NA,NA,Parque Nacional De Jericoacoara,Parque Nacional De Jericoacoara,BRA,BRA,BR-CE,Parque,Park,National,1,Designated,2013,All,24.65563897,0,24.65563897,88,88.62765299,Unknown,NA
895,8,F,100,NA,NA,Parque Nacional Do Cabo Orange,Parque Nacional Do Cabo Orange,BRA,BRA,BR-AP,Parque,Park,National,1,Designated,1980,All,2269.353284,1200,2269.353284,6573,6573.237781,Unknown,NA
51,2497,F,101,NA,NA,Parque Nacional Marinho Dos Abrolhos,Parque Nacional Marinho Dos Abrolhos,BRA,BRA,Not Reported,Parque,Park,National,2,Designated,1983,All,878.5241895,882,878.5241895,879,879.530102,Unknown,NA
60,7,F,102,NA,NA,Reserva Biológica Atol Das Rocas,Reserva Biológica Atol Das Rocas,BRA,BRA,Not Reported,Reserva Biológica,Biological Reserve,National,2,Designated,1979,All,350.2288381,362,350.2288381,351,351.8592628,No,Fishing is prohibited
59,764,F,103,NA,NA,Reserva Biológica De Comboios,Reserva Biológica De Comboios,BRA,BRA,BR-ES,Reserva Biológica,Biological Reserve,National,1,Designated,1984,All,0.3425354561,0,0.3425354561,7,7.846923412,No,Fishing is prohibited
54,1818,F,104,NA,NA,Reserva Biológica Marinha Do Arvoredo,Reserva Biológica Marinha Do Arvoredo,BRA,BRA,Not Reported,Reserva Biológica,Biological Reserve,National,2,Designated,1990,All,167.2491728,166,167.2491728,171,171.0500801,No,Fishing is prohibited
1,68808365,F,105,NA,NA,South Georgia and South Sandwich Islands [No-Take Zones],South Georgia and South Sandwich Islands,SGS,GBR,Antarctica,Marine Protected Area,Marine Protected Area,National,1,Designated,2012,All,309940.4875,20431,309940.4875,0,310127.5536,No,"Within this MPA are 11 no-take zones (NTZs) in which no fishing is permitted:
• South Georgia No-take Zone;
• Clerke Rocks No-take Zone;
• Shag Rocks No-take Zone;
• South Sandwich Islands no-take zones (8).
These NTZs include depths from"
