obs_id,name,entry_status,mp_year,other_docs,net_ids,country,region,subregion,num_areas,num_nt_areas,size,nt_size,protection,network,cc_threat,cc_ap,cons_obj,sp_vs_unit,sp_feat,unit_feat,cc_obj,obj_details,cc_va,other_assess,va_action,va_details,des_net,des_cc,des_res,sci_monitor,social_monitor,cc_monitor,cc_monitor_det,adap_man,adap_design,mp_time,work_plan,am_det,int_man,cc_actions,act_type,act_motive,Notes
48,Coral Sea Marine Park ,Complete,2018,Coral Sea Marine Park Implementation Plan 2018 (Reviewed),148,Australia,Pacific,Coral Sea,1,11,989836,238375,Zoning - NT national park zone,Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, coral reefs, their pressures, effects of marine debris",In development - effects of fishing,Explicit,"In development - plan to monitor ""vulnerability of important habitats to climate change""",Yes,Zoning,10,,,Yes,Yes,,,
150,Banc d'Arguin National Park,Complete,2015,,,Mauritania,Atlantic,East,1,2,6386,900,"Zone A is NT, estimates from other zones suggests ~900 km2 is NT, but NR",,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,LT monitoring trends/changes,Yes,NS,5,1,NS,Yes,NS,NA,NA,
152,Zembra et Zembretta,Complete,2004,,,Tunisia,Mediterranean,,1,1,76.1,7.6,Zoning,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Planned,Planned,NS,NA,Yes,NS,5,1,Periodic reviews after every 6mo to 1 year to define activities for the next time interval,Yes,NS,NA,NA,
29,Redfish Rocks Marine Reserve,Complete,2013,Ecological Monitoring Plan for Oregon Marine Reserves 2017 (Reviewed),,United States,Pacific,East,2,1,20,6.8,"1 NT reserve, 1 MPA (some take)","Oregon Marine Reserves, US National System of MPAs",No,NA,Somewhat,Both,NR,NR,Implicit,"General statewide reserve objetives (e.g. ""biodiversity"" and ""key habitats"") but lacks specifics - does include ""protection to enhance resilience to natural and human-caused effects"" ",NS,NS,NS,NS,Planned,General resilience principles for Oregon Statewide Marine Reserve Network - plans to evaluate their effectiveness around 2023,Yes,"Fish, Invertebrates, Habitats (Macroalgae, Intertidal, Rocky Reef), Oceanographic Conditions","Use comparison area for effectiveness of reserve; characterize communities and direct uses, recreation/engagement, attitudes and perceptions of management, social and environmental values",Implicit,Emphasis on establishing baselines for long-term changes over time (but no explicit climate change monitoring),Yes,,10,,,Yes,NS,,,
13,Greater Farallones National Marine Sanctuary,Other Docs NR,2014,"Vulnerability Assessment 2015 (NR), Climate Adaptation Report 2016 (NR), Climate Adaptation Plan 2016 (NR)",8 - 11?,United States,Pacific,East,1,11,8526,190,Zoning - MPAs are NT,"California Coastal MPA Network, US National Network of MPAs",Yes,Yes,Somewhat,Both,NR,"Habitats, processes",Explicit,"Objectives to understand impacts of climate change - specific features not as thoroughly listed, possibly because the reserves are just one component of the larger sanctuary. Overall the management plan outlines goals and objectives for protecting and monitoring certain habitats, species, and processes.",Yes,NS,Yes,NR,No,Adaptive zoning; potential to change restricted areas and/or extend boundaries as needed,NS,Extensive,Yes,Explicit,NR,Yes,Zoning,NS,NS,NR,Yes,Yes,,,
129,Lalang-garram/Camden Sound Marine Park,Complete,2013,,,Australia,Indian,East,1,2,6687,1353,Zoning - 2 NT sanctuary areas,NRSMPA,Yes,No,NR,NR,NR,NR,Explicit,Consider climate change when developing monitoring strategies,NS,NS,NS,NS,NS,NS,NS,Yes,Yes - human use patterns,Explicit,monitoring climate change impacts,Yes,NS,10,5,Management plan has 5-year review but valid for 10 years,Yes,NS,NA,NA,
16,Ross Sea Region Marine Protected Area,Complete,2017,,NA,ABNJ,Southern,NA,1,3,1603392,1603392,Zoning,NS,Yes,No,Yes,Both,"Trophically dominant pelagic prey species (Antarctic krill, crystal krill, Antarctic silverfish), areas important in life cycle of Antarctic toothfish, top predators or those which compete with fisheries (Adelie penguins, emperor penguins, Weddell seals, Type C killer whales)","Habitats important to native organisms; conserve structure and function at all biological levels, biodiversity (representative benthic and pelagic environments), large-scale ecosystem processes (shelf front interaction with seasonal ice, Polar frton, Balleny Islands and proximity, polynya marginal ice zone, multi-year ice), core foraging areas for land-based predators, rare/vulnerable benthic habitats (seamounts, slopes, McMurdo Sound, underwater features)",Explicit,"Climate change: provide reference areas for monitoring natural variability and long-term change, gauge ecosystem effects of climate change and fishing",NS,NS,NS,NS,No,NS,NS,"Distribution and abundance of seabirds, fishes, inverts, marine mammals; acoustic surveys to map Antarctic silverfish and krill, surveys of demersal fish and benthic communities of Pacific-Antarctic fracture zone, survey for sub-adult toothfish, surveys for habitats and potential nursery areas",NS,Explicit,"Emphasize objectives for meteorological and oceanographic research to characterize properties and dynamics of phyto/zooplankton, sea-ice remote sensing (type, concentration, extent), developing high-res circulation model of Ross Sea shelf and slope, deep bottom water formation, slope water intrusion, cross-shelf nutrient exchange",Yes,Zoning,10,,,Yes,NS,,,Ross Sea Conservation Measure
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Complete,2018,Indian Ocean,,India,Indian,NA,1,4,10500,369,"Zoning - 4 core zones are ""National Park"" (no-take), buffer zone where activity is allowed",NS,Yes,Yes,Yes,Both,"Dugong, sea turtles, sea cucumbers, sea horses and pipie fishes, important crabs, sea snakes, coastal birds, species of economic importance","Coral reefs, ",Explicit,Climate change adaptation and mitigation,NS,NS,NS,NS,NS,Protect resilient areas,NS,Extensive,Extensive,Explicit,"Focus on establishing baselines, long-term monitoring of conservation values and indicator species, and evaluating restoration activities",Yes,,3,,,Yes,Yes,,,
49,North Marine Parks Network,Complete,2018,North Marine Park Implementation Plan (Reviewed),148,Australia,Pacific,"Gulf of Carpenteria, Arafura Sea, Timor Sea",8,3,157480,7359,Zoning - 3 parks have NT National Park Zone,Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, coral reefs, their pressures, effects of marine debris",In development - effects of fishing,Explicit,Monitor the condition of important habitats such as reef systems and their vulnerability to climate change,Yes,Zoning,10,,,Yes,Yes,,,
50,North-west Marine Parks Network,Complete,2018,North-west Marine Park Implementation Plan (Reviewed),148,Australia,Indian,Timor Sea,13,8,335341,52533.7,"Zoning - 2 parks have NT/no-go sanctuary zones, 6 have NT national park zones",Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, fish and elasmobranch assemblages, sea turtle tracking and foraging habitats, shallow reefs, seabird surveys",In development - effects of fishing,Explicit,Monitor the condition of important habitats such as reef systems and their vulnerability to climate change,Yes,Zoning,10,,,Yes,Yes,,,
20,"Tupinambas y Arquipelago de Alcatrazes, Estacao Ecologica",Complete,2017,,,Brazil,Atlantic,West,6,6,23.7,23.7,Zoning - NT,NS,Yes,No,Yes,Both,"Species of fishing interest (snapper, grouper, bullseye), whales, birds, reef fish","Habitats that support nesting birds and fisheries (reproduction, shelter)",Explicit,General objective for maintaining resilience to climate change,NS,NS,NS,NS,No,NS,NS,"Sporadic benthic habitat, reef fish, cetacean sighting, water quality - notes need for developing a monitoring program",NS,NS,NS,Yes,Zoning,5,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,Yes,IS,No,
30,Cascade Head Marine Reserve,Complete,2017,Ecological Monitoring Plan for Oregon Marine Reserves 2017 (Reviewed),,United States,Pacific,East,4,1,84.8,25.1,"1 NT reserve, 3 MPAs (some take)","Oregon Marine Reserves, US National System of MPAs",No,NA,Somewhat,Both,NR,NR,Implicit,"General statewide reserve objetives (e.g. ""biodiversity"" and ""key habitats"") but lacks specifics - does include ""protection to enhance resilience to natural and human-caused effects""",NS,NS,NS,NS,Planned,General resilience principles for Oregon Statewide Marine Reserve Network - plans to evaluate their effectiveness around 2023,Yes,"Fish, Invertebrates, Habitats (Macroalgae, Intertidal, Rocky Reef), Oceanographic Conditions","Use comparison area for effectiveness of reserve; characterize communities and direct uses, recreation/engagement, attitudes and perceptions of management, social and environmental values",Implicit,Emphasis on establishing baselines for long-term changes over time (but no explicit climate change monitoring),Yes,,10,,,Yes,NS,,,
31,Cape Perpetua Marine Reserve,Complete,2020,Ecological Monitoring Plan for Oregon Marine Reserves 2017 (Reviewed),,United States,Pacific,East,4,1,144,37,"1 NT reserve, 2 MPAs (some take) and 1 seabird protection area (some take)","Oregon Marine Reserves, US National System of MPAs",No,NA,Somewhat,Both,NR,NR,Implicit,"General statewide reserve objetives (e.g. ""biodiversity"" and ""key habitats"") but lacks specifics - does include ""protection to enhance resilience to natural and human-caused effects""",NS,NS,NS,NS,Planned,General resilience principles for Oregon Statewide Marine Reserve Network - plans to evaluate their effectiveness around 2023,Yes,"Fish, Invertebrates, Habitats (Macroalgae, Intertidal, Rocky Reef), Oceanographic Conditions","Use comparison area for effectiveness of reserve; characterize communities and direct uses, recreation/engagement, attitudes and perceptions of management, social and environmental values",Implicit,Emphasis on establishing baselines for long-term changes over time (but no explicit climate change monitoring),Yes,,10,,,Yes,NS,,,
51,South-east Marine Parks Network,Complete,2013,South-east Marine Park Implementation Plan (Reviewed),148,Australia,Southern,NA,14,14,388464,154046,Zoning - NT National Park Zone,Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, coral reefs, their pressures, effects of marine debris",In development - effects of fishing,Explicit,Monitor the condition of important habitats such as reef systems and their vulnerability to climate change,Yes,Zoning,10,,,Yes,Yes,,,
52,South-west Marine Parks Network,Complete,2018,South-west Marine Park Implementation Plan (Reviewed),148,Australia,Indian,NA,14,11,508371,103636,Zoning - 11 parks have NT National Park Zone,Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, coral reefs, their pressures, effects of marine debris",In development - effects of fishing,Explicit,Monitor the condition of important habitats such as reef systems and their vulnerability to climate change,Yes,Zoning,10,,,Yes,Yes,,,
53,Temperate East Marine Parks Network,Complete,2018,,148,Australia,Pacific,West,8,8,383339,59050,Zoning - NT National Park Zone,Australia’s National Representative System of Marine Protected Areas,Yes,No,Yes,Both,"threatened, unique, charismatic species",representative habitats of the bioregions,Explicit,Objectives written to protect the conservation values; Objective to monitor vulnerabilities of important habitats to climate change,NS,NS,NS,NS,Yes,NS,Representation across bioregions,"Conditions of important habitats, coral reefs, their pressures, effects of marine debris",In development - effects of fishing,Explicit,Monitor the condition of important habitats such as reef systems and their vulnerability to climate change,Yes,Zoning,10,,,Yes,Yes,,,
82,French Southern Territories ,Complete,2018,,,France,Southern,NA,3,7,665741,120263,Zoning - 7 NT areas (strict marine protection) within 3 separate buffer regions,NS,Yes,Planned,NR,NR,NR,NR,Explicit,"Goal of understanding and adapting to global change, developing climate change adaptation plan",Yes,NS,NS,"Partnership with university - project assessing sensitivity and vulnerabiltiy of Assessment of the sensitivity and vulnerability of organisms and ecosystems to climate change and biological invasions (plants, insects)",NS,"Yes - Incorporate high producitivty areas (carbon sinks) and notes that the perimeter ""guarantees representativeness"" of the oceanic pelagic conditions with respect to climate changes",Yes,Extensive,Cultural and historical heritage,Explicit,Emphasis on long-term monitoring,Yes,,10,,,Yes,Yes,,Yes,
55,Parque Nacional Revillagigedo,Complete,2018,,,Mexico,Pacific,East,1,1,147630,147630,NT,"NS, Mexico National System?",Yes,Yes,Yes,Both,"Endemic species, coastal and reef species (certain listed of charismatic or commercial value)","Environmental services, habitats, function and characteristics of sensitive areas and biological communities",Explicit,"Promote knowledge about current and potential impacts, actions to reduce sensitivity of ecosystems, actions to increase adaptive capacity - establish baseline and vulnerability of conservation objects, implement effective long-term measures",Planned,Yes,Planned,Scientific study evaluated impact of SLR on three islands of the archipelago - used two scenarios (1m and 5m) to evaluate impacts on biodiversity and habitats; full climate vulnerability assessment planned with goals to include relevant adaptation strategies; Stressor: SLR,NS,NS,NS,"Focus on developing baselines and indicators for ecosystems and species of interest, changes resulting from management activities (e.g. eradication, recovery, restoration)",NS,Explicit,"Establish baselines and indicators, monitor effects associated with climate change (biotic, human, geologic)",Yes,,NS,,MP will be 'reviewed and updated',Yes,Yes,"IS, HR, FR",Yes,
69,West Coast National Park (Langebaan Lagoon Marine Protected Area),Complete,2013,,,South Africa,Atlantic,South,1,1,39.1,NS,Zoning - C is NT,South Africa National Protected Areas,No,NA,Values,Both,Species of special concern,"Biodiversity, ecosystem function",No,NA,NS,NS,NS,NS,Planned - updates to zoning to reflect South African network bioregional approach,NS,"Updates to zoning to include a buffer area and protection of ecological corridors, connectivity between protected areas; assessed for representation of habitats and rare/endangered/endemic species","Water quality and species assemblages, invasive species, species of special concern (identify, prioritize, monitor, identify threats, and implement interventions to mitigate those threats)","Monitor resource use, determine status of exploited resources, assess long term trends, monitor tourism impacts",Implicit,NS,Yes,Zoning,10,,,Yes,Yes,,,
80,He'ia National Estuarine Research Reserve (Moku-o-loe Island - Coconut Island),Complete,2016,US Reserve System Strategic Plan,,United States,Pacific,Central,1,1,2.91,2.91,Zoning - Moku-o-loe Island is Research Area (NT),US NERR System,Yes,No,NR,NR,NR,NR,Explicit,"Goals to increase understanding of effects of human activities and natural events to improve informed decision-making. Objectives include using baseline data to inform magnitude of change, integrate traditional knowledge and contemporary sience to address climate change, habitat restoration, water quality. ",NS,Yes,NS,National sensitivity assessment for NERR system,No,"Yes - ""The buffer areas provide an opportunity to accommodate future shifts in the core area as a result of successful restoration or climate impacts.""",Yes,Extensive,Extensive,Explicit,"Emphasis on using baseline data to inform magnitude of change; research and monitoring providing information on climate change, water quality, estuarine habitat change. S",Yes,,NS,NS,Update strategies based on monitoring,Yes,Yes,,Yes,
66,De Hoop Nature Reserve Complex,Complete,2017,,,South Africa,Indian,NA,1,1,286,286,NT - Additional zoning,South Africa National Protected Areas,Yes,No,Yes,Both,"Threatened, vulnerable species","Biodiversity, ecosystem processes",No,Specific species not listed; conservation thresholds not listed,NS,Yes,NS,Sensitivity analysis of various features to identify and prioritize action,Planned - updates to zoning to reflect South African network bioregional approach,NS,"Updates to zoning to include a buffer area and protection of ecological corridors, connectivity between protected areas; assessed for representation of habitats and rare/endangered/endemic species","Kelp forest distribution, intertidal diversity",Tourism use and impacts,Explicit,"""Climatic data including sea temperature""",Yes,Zoning,5,,,Yes,Yes,,,
59,Rock Islands Southern Lagoon,Complete,2012,,,Palau,Pacific,Central,1,4,846,59,Zoning - 4 no-take areas within management area,Palau Protected Area Network,Yes,Planned,Somewhat,Both,"Commercially valuable fish, turtles, dugongs, sea cucumbrs, birds","Critical habitats, biodiverse habitats, fish spawning aggregations, habitats supporting turtles/dugongs/birds, nesting beaches, humphead parrot fish spawning sites",Explicit,"Objective to develop strategies to enhance the resilience of ecosystems to climate change - actions include research, monitoring, vulnerability assessments, and action plans",Planned,NS,NS,Action to conduct vulnerability assessments,NS,NS,NS,"Survey of fish and essential habitat, sea turtle nesting and populations, dugong habitat survey, bird diversity, vegetation survey, monitoring invasive species and pollution in marine lakes, monitor invasive species, ","Sustainable harvest levels, awareness about conservation and cultural values, tourism activity and environmental impacts, ",Implicit,"Monitor shoreline erosion, threats",Yes,,5,,,Yes,Yes,,,
2,Santuario de Flora y Fauna Malpelo,Other Docs NR,2015,"Pacific Regional System Articulation (NR), Action Plan for National MPA System 2016-2023 (NR), Framework for National MPA Subsystem 2018 (NR)",,Colombia,Pacific,East,1,1,26659,9741,Zoning,"Colombia National System of Protected Areas - Pacific Subregion, Marine Corridor of Conservation in the Eastern Tropical Pacific (El Corredor Marino de Conservación del Pacifico Este Tropical - CMAR)",Yes,Yes,Yes,Both,"Threatened, vulnerable, endemic",Biodiversity,Explicit,Climate change and invasive species are 2 of the 4 management issues the plan is focused on,Planned,Yes,Yes,"Qualitative risk assessment was conducted to prioritize issues for management based on stressors in the region - climate change and variability was one category. A comprehensive vulnerability assessment is planned from the current MP to evaluate vulnerability of conservation features but not yet reported. The risk assessment led to SST anomalies as a priority issue, with specific management actions. Stressors: SST anomalies, acidification, thermal fronts/surges, wind patterns, precipitation patterns, seasonal temperature changes, and heat waves",Planned,Zoning plans include risk assessment for areas; emphasize network design; general resilience principles,Yes,Yes,Yes,Explicit,NR,Yes,Zoning,5,,NR,Yes,Yes,,,Generate and increase scientific knowledge of ecosystems and the effect of global climate change as inputs for decision-making and the achievement of the conservation objectives of the SFF Malpelo; Design reduces other stressors?
61,Teluleu Conservation Area,Complete,2013,,,Palau,Pacific,Central,1,1,0.769,0.769,NT,Palau Protected Area Network,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,No,NS,NS,ID,ID,NS,NS,Yes,,5,,MP valid for 5 years,Yes,NS,,,
44,Komodo National Park,Complete,2000,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,2,NS,1185,NS,Zoning - core zone and Special Research Zone are no-take,NS,Yes,No,Yes,Both,Komodo dragons,"Coral reefs, fish spawning grounds",No,NA,NS,Yes,NS,Rapid Ecological Assessment 1995,NS,NS,NS,"Water quality, climate (temperature, humidity), coral reef (health, cover, damage), grouper and Napoleon spawning grounds, cetacean diversity and abundance, oceanography, seagrass bed exposure, ","Resource use (boats, fishing, methods, catch, origin), ",Implicit,NS,Yes,Zoning,NS,NS,,Yes,Yes,,,
54,Heard and McDonald Islands Marine Reserve Network,Complete,2014,,,Australia,Southern,NA,4,4,70644,70644,NT - Additional zoning,Australia’s National Representative System of Marine Protected Areas,Yes,Yes,Yes,Both,Outlined in another document,Outlined in another document,Explicit,Incorporate new information about climate change into reserve management,NS,NS,NS,NS,NS,NS,NS,"Distribution and trends of threatened species or ecological communities, surveys of indigenous and non-native species, wetland, condition and significance of heritage sites, hydrographic surveys, geologic mapping and volcanic activity, baselines of nearshore marine ecosystems, oceanographic features and processes, habitat-forming benthos, targeted fish, introduction pathways","Extent and type of human disturbance, impacts of the environment",Explicit,"Monitoring to establish baselines, measure response to climate change, monitor climate variables, colonisation of newly deglaciated areas",Yes,Zoning,10,,,Yes,Yes,,,
3,Parque Nacional Isla del Coco,Other Docs NR,2017,"BIOMARCC Climate Change Vulnerability 2013 (NR), SINAC Action Plan (NR), Management Plan for Submarine Mountain Marine Area (NR), SINAC Strategic Plan (NR), SINAC Ecological Monitoring Plan (NR)",,Costa Rica,Pacific,East,1,1,2095,1942,Zoning,"Submarine Mountains Marine Protected Area, Costa Rica National System of Conservation Areas (SINAC), Marine Corridor of Conservation in the Eastern Tropical Pacific (El Corredor Marino de Conservación del Pacifico Este Tropical - CMAR)",Yes,Planned,Yes,Both,Pelagics,"Forests, reefs, geologic formations, cultural history",Explicit,"Climate change identified as priority threat for immediate action - developing adaptation and mitigation plan, plans for invasive species management, seeking ""blue flag"" certification for climate change",NS,Yes,Planned,"Qualitative risk assessment was conducted to prioritize issues for management based on stressors in the region - climate change was identified as the most critical threat. Stressors: SST, sea level rise, ocean acidification, precipitation patterns",Yes,NS,NS,Yes,Yes,Explicit,NR,Yes,Zoning,10,1,NR,Yes,Yes,,,
4,Galapagos Marine Reserve,Other Docs NR,2014,"Management Plan for the Protected Areas for Good Living (NR), Climate Change and Protected Areas (NR), Strategic Plan for National System of Protected Areas (NR)",,Ecuador,Pacific,East,1,23,138000,44822,Zoning - Conservation Zones,"National System of Protected Areas, Marine Corridor of Conservation in the Eastern Tropical Pacific (El Corredor Marino de Conservación del Pacifico Este Tropical - CMAR)",Yes,Yes,Yes,Both,"Ecologically essential, endemic, umbrella, indicators, commercial, threatened",Ecological integrity; habitats,Explicit,"Primary basic objective is to increase and integrate scientific/technical knowledge within management, specifically ecological-socioeconomic-cultural interactions in the context of global change; Goal of managing for resilience, setting explicit minimum standards: one is “protect ecosystems and natural buffer barriers to mitigate natural events and those produced by climate change”",Planned,NS,NS,Plans to examine the vulnerability of indicators,No,"Zoning, emphasizing resilience principles",NS,Yes,Yes,Explicit,"Monitoring program described as long-term, systematic and hierarchical dynamic process of collecting/storing/analyzing data on ecosystems and populations at different scales to determine ecological status at various time points and link to specific action. Define indicators with established critical values to characterize ecological conditions/states and detect changes/trends that trigger effective management measures (preventive action, mitigation, restoration, observation). Specific plan to implement climate change monitoring. Specific focuses for climate monitoring: The degradation of ecosystems and the loss of biodi-diversity associated with changes in land use in the populated area, especially the agricultural zone, changes in biogeochemical and water cycles, invasive alien species, vectors and diseases, land and marine environmental pollution,including aquifers, soils, coasts and open sea, the overexploitation of certain services of sourcing related to species of interest commercial (fisheries) or geotic resources (raw materials), global Climate Change and climate variability region (ENSO) and its effect on biodiversity and the insular socioeconomic system.",Yes,Zoning,10,1,NR,Yes,Yes,,,Design reduces other stressors?
7,Aldabra Atoll Special Reserve,Other Docs NR,2016,Seychelles Protected Area Policy 2013 (NR),NA,Seychelles,Indian,West,1,1,2417,2417,Zoning,NS,Yes,No,Yes,Both,Extensive,Extensive,No,NR,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,"Monitoring programs directly state goals for tracking effects of climate change - emphasis on developing long-term reference sites to understand natural variability and key ecological processes (e.g. coral recruitment) in the protected area, monitor changes in key values against baseline data",Yes,Zoning,NS,1,"Review policy every 3 years, MP review NS (implementation schedule exists but DNF); specifies possibility of temporary zoning measures within MPA legislation; 'where possible implement adaptive management strategies'",Yes,Yes,"IS, FR, GO",Yes,
67,Helderberg Marine Protected Area,Complete,2016,,,South Africa,Atlantic,South,1,1,2.4,2.4,NT - Additional zoning,South Africa National Protected Areas,Yes,No,Somewhat,Both,"Birds, reef fish","Biodiversity, ecosystem function",No,NA,NS,NS,NS,NS,No,NS,NS,"Intertidal communities - species community structure, keystone and alien species abundance), surf zone fish community (CPUE and size of selected species), subtidal reef fish density, abalone density and size, west coast rock lobster density and size, seabird breeding pairs, cetacean sightings",NS,Explicit,"Indicators - sea temperature, weather (air temperature, wind speed and direction), reference to other scientific indicators for climate change (e.g. how changes in intertidal communities could be indicative of climate change)",Yes,,5,,"Review annually for first three years (this is first MP), then every 5 years after that. Emphasis on monitoring and management feeding into the update process.",Yes,NS,,,
41,Kapoposong (KKPN Kepulauan Kapoposang),Complete,2013,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,2,499,10.86,Zoning - 2 core zones,NS,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,"Coral helath, rapid reef survey, seagrass and mangroves, reef fish spawning aggregations","Resource use, tourism, illegal fishing, fishing gears and practices used",Implicit,NS,Yes,Zoning,5,1,Annual work plan,Yes,Yes,,,
75,"Sundarbans Wildlilfe Sanctuaries (East, West, South)",Other Docs NR,2010,Sundarban Wildlife Sanctuary Management Plan - West (NR),,Bangladesh,Indian,NA,1,3,811,811,Zoning - Sanctuary zone NT,NS,Yes,Yes,Somewhat,Both,"Threatened and endemic species, mangroves, tigers","Biodiversity, habitat connectivity, ecological functions (climate mitigation through carbon sequestration and storage, water body conservation, coastal protection, fisheries)",Explicit,"Listed as biodiversity conservation values, not necessarily objectives",Planned,NS,Planned,Action to conduct vulnerability assessments and link to mitigation and intervention strategies,NS,NS,NS,Yes,Extensive; value-chain and livelihood focused for extraction of resources and impacts on local communities,NS,NS,Yes,Zoning,10,1,"10 year MP, adaptive zoning and programs for particular uses, annual development plans",Yes,Yes,,,
70,Prince Edwards Island,Complete,2010,,,South Africa,Southern,NA,1,1,181965,4439,Zoning - Sanctuary zone is NT,NS,Yes,No,No,NA,NA,NA,Explicit,"Encourage research that will contribute to understanding effects of human-induced changes, including long term climate change",NS,NS,NS,NS,NS,NS,NS,Invasive species,NS,NS,NS,Yes,,NS,NS,NS; adaptive management for biodiversity,Yes,Yes,,,
42,Laut Banda (KKPN Laut Banda),Complete,2014,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,1,24.3,0.843,Zoning - 1 core zone,NS,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,Yes,General resilience principles,Yes,"Coral, seagrass, fish, key species (napoleon, cetaceans, sharks, turtles)",Resource use,NS,NS,Yes,Zoning,5,1,Annual work plan,Yes,Yes,,,
124,Batemans Marine Park,Complete,2010,,,Australia,Pacific,Tasman Sea,1,30,809,150,Zoning - Sanctuary Areas are NT,NRSMPA,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,ID,ID,NS,NS,Yes,Zoning,10,1,,Yes,Yes,IS,No,
73,Aliwal Shoal Marine Protected Area,Complete,2006,,,South Africa,Indian,NA,1,1,124,NS,Zoning - Sanctuary zone is NT,South Africa National Protected Areas,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,"Habitat diversity, community structure, episodic events (red tide/bleaching), identify biodiversity targets and threats, measure trends and benchmark","Use, socioeconomic profiles, fisheries impacts",Implicit,"Emphasis on developing baselines, selecting indicators and targets, and determining threshold limits of acceptable change (but no mention of climate change)",Yes,NS,2,NS,"Annual for first 5, then every 2 years, external audit every 5 years",NS,NS,,,
74,Dwesa-Cwebe Marine Protected Area,Complete,2006,,,South Africa,Indian,NA,1,1,261,NS,Shore-fishing allowed,NS,No,NA,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,NS,NS,fishing activity,NS,NS,Yes,,5,,,Yes,NS,,,
