Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
19,Port Honduras Marine Reserve,Design,Protect critical species or habitats (for cc),"Identify and protect resilient areas and coral speecies (ongoing), coral recruitment sources, and key herbivores for maintaining live coral cover and ecological function (example of already implemented/ongoing protection action: identifying and designating specific mooring sites and boat access channels to reduce mechanical impacts on corals by boats)"
19,Port Honduras Marine Reserve,Management,Reduction of other threats linked to climate resilience,"""Identify resilient coral species and areas within PHMR. Identify coral recruitment sources for PHMR, and identify
mechanisms to ensure that these are adequately protected, if necessary"""
20,"Tupinambas y Arquipelago de Alcatrazes, Estacao Ecologica",Objectives,Objectives explicitly connected to climate change,General objective for maintaining resilience to climate change
20,"Tupinambas y Arquipelago de Alcatrazes, Estacao Ecologica",Objectives,Maintain function/biodiversity in climate change,"""Ensuring the maintenance of the pristine marine-insular ecosystem, a reference area for
research and environmental monitoring, helping to maintain its resilience to climate change."""
20,"Tupinambas y Arquipelago de Alcatrazes, Estacao Ecologica",Objectives,Enhance overall system resilience to climate change,"""Ensuring the maintenance of the pristine marine-insular ecosystem, a reference area for
research and environmental monitoring, helping to maintain its resilience to climate change."""
20,"Tupinambas y Arquipelago de Alcatrazes, Estacao Ecologica",Objectives,Provide natural reference area for climate change,"""Ensuring the maintenance of the pristine marine-insular ecosystem, a reference area for
research and environmental monitoring, helping to maintain its resilience to climate change."""
21,"Guanabara, Estacao Ecologica",Climate,Discusses protection as climate mitigation strategy,Protection barrier due to climate change (to be a protection barrier against flooding).
21,"Guanabara, Estacao Ecologica",Climate,Discusses role of area as carbon sink,"Provide environmental services such as: shoreline protection, water flow regulation, local climate balance, natural water purification, biological support for coastal fishing, carbon fixation; Assessment of carbon sequestration and storage capacity by forests of mangrove."
23,The Gully Marine Protected Area,Climate,Discusses protection as climate mitigation strategy,Responsibilities of climate change organization is to protect migratory birds
26,Kisite-Mpunguti Marine Protected Area,Climate,Discusses role of area as carbon sink,"*Excellent conservation target table* Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)"
26,Kisite-Mpunguti Marine Protected Area,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Raise awareness on climate change impacts, mitigation and adap-
tation measures

It is important that KMMPA stakeholders are aware of current global issues affecting ecologi-
cal systems within the area, and how they are likely to impact their livelihoods."""
26,Kisite-Mpunguti Marine Protected Area,Objectives,Improve climate change awareness/education,"Convey awareness on climate change impacts, mitigation, and adaptation measures to area stakeholders - ensure they are aware of current global issues affecting ecological systems in the area and how they are likely to impact their livelihoods"
26,Kisite-Mpunguti Marine Protected Area,Assessment,Conducted climate change vulnerability assessment,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA)
26,Kisite-Mpunguti Marine Protected Area,Design,Protect resilient areas,Protecting seagrass beds due to their resilient nature and ability to mitigate against climate change-related effects
26,Kisite-Mpunguti Marine Protected Area,Design,Protect critical species or habitats (for cc),Protecting seagrass beds due to their resilient nature and ability to mitigate against climate change-related effects
27,Phoenix Islands Protected Area,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The events of 2000 and subsequent coral mortality
illustrates the PIPA’s remoteness alone will not effectively
mitigate the effects of climate change. With the increasing
frequency and intensity of natural disturbances, PIPA’s resilience
will become increasingly important in the face of climate related coral losses around the world."""
27,Phoenix Islands Protected Area,Objectives,General climate change adaptation,"""Further climate change adaptation measures as recommended by SAP2.7 Climate Change
programme will be assessed and implemented as resources allow."""
27,Phoenix Islands Protected Area,Objectives,Maintain function/biodiversity in climate change,"""Management actions,
surveillance and
enforcement that prevent
non-climate threats from
occurring and impacting on
natural systems"".- from the biodiversity solution section of the CCVA"
27,Phoenix Islands Protected Area,Objectives,Enhance overall system resilience to climate change,"""In accordance with actions identified in the
PIPA Management Plan 2010-2014, a scoping study was commissioned to better understand
the current and future vulnerability of PIPA to climate change, to ensure that PIPA
management is consistent with best practice for climate change resilience and adaptation for
protected areas."""
27,Phoenix Islands Protected Area,Objectives,Provide natural reference area for climate change,"Emphasis on ""natural laboratory"" potential - examine how degradation affects resilience of natural systems and society to threats of climate change, serve as reference site for climate change issues (including larger circulation patterns, ENSO cycles, OA). Also developing a deep sea and seamount research program to establish baselines, characterize deep-sea connectivity and regional dispersal patterns, use collections of deep sea coral samples to reconstruct past environmental conditions and evaluate potential climate-related instability, mapping for hotspots and potentially vulnerable locations, linkages between deep and shallow habitats"
27,Phoenix Islands Protected Area,Objectives,Monitoring climate effects and/or indicators,"""ecosystem. Through collecting information about the status of
species and habitats exposed to the effects of climate change, combined with data on environmental conditions
such as air temperature, sea temperature and sea level available from global data sets (such as sea surface
temperature data from NOAA), the PIPA Monitoring and Evaluation Plan will guide management responses
to climate change and contribute to global efforts to better understand and manage coral reefs in a changing
climate."""
27,Phoenix Islands Protected Area,Objectives,Promote climate change research (or increase cc knowledge),"""PIPA can help Kiribati and the world understand climate change impacts to atolls, and research in PIPA can be of global significance/
PIPA Management Plan 2015-2020 18 World Summit on Sustainable Development (WSSD)."""
27,Phoenix Islands Protected Area,Objectives,Improve climate change awareness/education,"Outreach and climate change awareness - Weekly evening PIPA National Quiz reaches all schools on Tarawa - 75% questions related to PIPA, conservation, sustainable fishing, environmental appreciation, climate change and its impacts on corals and fisheries, and sustainable development (other 25% general curriculum questions)"
27,Phoenix Islands Protected Area,Assessment,Conducted climate change vulnerability assessment,"Updated 2016 but not comprehensive; notes particular recommendations moving forward but unclear if/how they are being implemented; Stressors: Air temperature, rainfall, SST & thermal stress, pH, sea level rise, ENSO; Conducted climate change vulnerability assessment, evaluated PIPA in context of climate change"
27,Phoenix Islands Protected Area,Design,Protect resilient areas,Studies have demonstrated the potential for recovery from severe bleaching events - good water quality and intact herbivore populations facilitated succession from turf algae > coralline algae > corals and deep atoll slopes promoted survival of deepwater corals. Climate change studies in 2012 suggested Kanton lagoon may maintain alkaline state with increase in OA suggesting possible resilience of the area and value of the reefs as global benchmarks.
27,Phoenix Islands Protected Area,Design,Adaptive design applied as a climate change strategy,Studies have demonstrated the potential for recovery from severe bleaching events - good water quality and intact herbivore populations facilitated succession from turf algae > coralline algae > corals and deep atoll slopes promoted survival of deepwater corals. Climate change studies in 2012 suggested Kanton lagoon may maintain alkaline state with increase in OA suggesting possible resilience of the area and value of the reefs as global benchmarks.
27,Phoenix Islands Protected Area,Management,Reduction of other threats linked to climate resilience,"Recommendations from vulnerability assessment were summarized in the MP Climate Change Strategic Action Plan (section 2.7) but written as ""recommendations"" not actions. They are: 1) Protection of particularly vulnerable Acropora reefs in Kanton lagoon through the Kanton Sustainable Resource Plan, 2) financing removal of shipwrecks and large iron which reduces coral recovery, 3) Continue reducing other anthropogenic stressors (fishing, pollution, invasive species, remove shipwrecks, prevent habitat degradation) and develop guidelines to manage tourism to minimize impacts, 4) Support climate change research and continue with existing partnerships."
27,Phoenix Islands Protected Area,Management,Reducing tourism pressure applied as climate strategy,"""To date the most successful basic management strategy is to remove all other
anthropogenic stressors to the PIPA environment (e.g. reduce fishing effort, avoid
pollution, eradicate invasive species, remove shipwrecks and prevent habitat
degradation), on the basis that PIPA would then have the best chance to cope with
impacts of climate change. Specific guidelines should be developed to control and
manage tourism to PIPA to minimise impacts to reefs, seabird colonies and prevent the
introduction of invasive species to any of the islands."""
27,Phoenix Islands Protected Area,Management,Applied as climate strategy,"Recommendations from vulnerability assessment were summarized in the MP Climate Change Strategic Action Plan (section 2.7) but written as ""recommendations"" not actions. They are: 1) Protection of particularly vulnerable Acropora reefs in Kanton lagoon through the Kanton Sustainable Resource Plan, 2) financing removal of shipwrecks and large iron which reduces coral recovery, 3) Continue reducing other anthropogenic stressors (fishing, pollution, invasive species, remove shipwrecks, prevent habitat degradation) and develop guidelines to manage tourism to minimize impacts, 4) Support climate change research and continue with existing partnerships."
32,Nestucca Bay National Wildlife Refuge,Objectives,Objectives explicitly connected to climate change,Climate change related strategies are secondary actions within the objectives
32,Nestucca Bay National Wildlife Refuge,Objectives,General climate change adaptation,"Establishing priority questions for considering climate change in management and commitment to ""adapt to the realities of climate change"": What actions should the Service take to address anticipated impacts to refuge resources from climate change/sea level rise, including species range shifts, phenological changes, decoupling of species assemblages, hydrological changes, ocean acidification, and changes in disturbance regimes? Are there focal species that will be adversely affected (directly or indirectly) by climate change, and what might be done to mitigate for that? How can cumulative stresses be reduced (e.g., among climate stress and other anthropogenic stresses, which do we have most control over)?"
32,Nestucca Bay National Wildlife Refuge,Objectives,Enhance overall system resilience to climate change,Adaptive management - adjust objectives and strategies to enhance resilience of refuge resources to climate change
32,Nestucca Bay National Wildlife Refuge,Objectives,Monitoring climate effects and/or indicators,"Monitoring habitat and species to establish correllations and potential adaptation option, effects of regional and local climate trends on refuge resources. In estuaries, salt marshes, and intertidal habitats, monitoring sedimentation rates and vegetation response to understand potential resilience to sea level rise, storm surges, flood events.  Monitor environmental factors that are climate change related stressors (e.g. changes to hydrology, acidification, storm intensity, floods)"
32,Nestucca Bay National Wildlife Refuge,Objectives,Promote climate change research (or increase cc knowledge),Prioritize research efforts examining effects of climate change and sea level rise on environmental conditions and associated habitat/wildlife response; Participate and contribute in North Pacific Coast Landscape Conservation Cooperative (LCC) - integrated partnership to address larger scale impacts of climate change and other biological stressors - ongoing climate sensitivity analysis
32,Nestucca Bay National Wildlife Refuge,Objectives,Reduce emissions; green operations,"Goal of carbon-neutral by 2020: conserve energy in operations, use fuel-efficient vehicles, build energy-efficient facilities, reduce carbon footprint of land management activities where feasible, offset carbon balance through sequestration actions (reforesting portion of Cannery Hill started over 10 years ago when plan was written)"
32,Nestucca Bay National Wildlife Refuge,Objectives,Improve climate change awareness/education,"Quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese while minimizing impacts. Aim to appeal to a broad range of learning styles, provide interdisciplinary opportunities that link natural resources through multiple academic subject areas, and link directly to wildlife observation and interpretation programs."
32,Nestucca Bay National Wildlife Refuge,Assessment,Conducted climate change vulnerability assessment,"Climate chapter in MP, but also undergoing climate sensitivity analysis at time of writing with plans to turn that into specific actions; general conditions, air temperatures, precipitation, wind, climate cycles, water quality, tides and salinity, sea level rise, hydrology"
32,Nestucca Bay National Wildlife Refuge,Design,Adaptive design applied as a climate change strategy,"""In the presence of accelerated climate change,
adaptive management is an increasingly important management-decision process. The Refuge will
employ adaptive management as a standard operating procedure."""
32,Nestucca Bay National Wildlife Refuge,Management,Reduction of other threats linked to climate resilience,"Establishing priority questions for considering climate change in management and commitment to ""adapt to the realities of climate change"": What actions should the Service take to address anticipated impacts to refuge resources from climate change/sea level rise, including species range shifts, phenological changes, decoupling of species assemblages, hydrological changes, ocean acidification, and changes in disturbance regimes? Are there focal species that will be adversely affected (directly or indirectly) by climate change, and what might be done to mitigate for that? How can cumulative stresses be reduced (e.g., among climate stress and other anthropogenic stresses, which do we have most control over)?"
33,Siletz Bay National Wildlife Refuge,Objectives,Objectives explicitly connected to climate change,Climate change related strategies are secondary actions within the objectives
33,Siletz Bay National Wildlife Refuge,Objectives,General climate change adaptation,"Establishing priority questions for considering climate change in management and commitment to ""adapt to the realities of climate change"": What actions should the Service take to address anticipated impacts to refuge resources from climate change/sea level rise, including species range shifts, phenological changes, decoupling of species assemblages, hydrological changes, ocean acidification, and changes in disturbance regimes? Are there focal species that will be adversely affected (directly or indirectly) by climate change, and what might be done to mitigate for that? How can cumulative stresses be reduced (e.g., among climate stress and other anthropogenic stresses, which do we have most control over)?"
33,Siletz Bay National Wildlife Refuge,Objectives,Enhance overall system resilience to climate change,Adaptive management - adjust objectives and strategies to enhance resilience of refuge resources to climate change
33,Siletz Bay National Wildlife Refuge,Objectives,Monitoring climate effects and/or indicators,"Monitoring habitat and species to establish correllations and potential adaptation option, effects of regional and local climate trends on refuge resources. In estuaries, salt marshes, and intertidal habitats, monitoring sedimentation rates and vegetation response to understand potential resilience to sea level rise, storm surges, flood events.  Monitor environmental factors that are climate change related stressors (e.g. changes to hydrology, acidification, storm intensity, floods)"
33,Siletz Bay National Wildlife Refuge,Objectives,Promote climate change research (or increase cc knowledge),Prioritize research efforts examining effects of climate change and sea level rise on environmental conditions and associated habitat/wildlife response; Participate and contribute in North Pacific Coast Landscape Conservation Cooperative (LCC) - integrated partnership to address larger scale impacts of climate change and other biological stressors - ongoing climate sensitivity analysis
33,Siletz Bay National Wildlife Refuge,Objectives,Reduce emissions; green operations,"Goal of carbon-neutral by 2020: conserve energy in operations, use fuel-efficient vehicles, build energy-efficient facilities, reduce carbon footprint of land management activities where feasible, offset carbon balance through sequestration actions (reforesting portion of Cannery Hill started over 10 years ago when plan was written)"
33,Siletz Bay National Wildlife Refuge,Objectives,Improve climate change awareness/education,"Quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese while minimizing impacts. Aim to appeal to a broad range of learning styles, provide interdisciplinary opportunities that link natural resources through multiple academic subject areas, and link directly to wildlife observation and interpretation programs."
33,Siletz Bay National Wildlife Refuge,Assessment,Conducted climate change vulnerability assessment,"Climate chapter in MP, but also undergoing climate sensitivity analysis at time of writing with plans to turn that into specific actions; general conditions, air temperatures, precipitation, wind, climate cycles, water quality, tides and salinity, sea level rise, hydrology"
33,Siletz Bay National Wildlife Refuge,Design,Adaptive design applied as a climate change strategy,"""In the presence of accelerated climate change,
adaptive management is an increasingly important management-decision process. The Refuge will
employ adaptive management as a standard operating procedure."""
33,Siletz Bay National Wildlife Refuge,Management,Reduction of other threats linked to climate resilience,"Establishing priority questions for considering climate change in management and commitment to ""adapt to the realities of climate change"": What actions should the Service take to address anticipated impacts to refuge resources from climate change/sea level rise, including species range shifts, phenological changes, decoupling of species assemblages, hydrological changes, ocean acidification, and changes in disturbance regimes? Are there focal species that will be adversely affected (directly or indirectly) by climate change, and what might be done to mitigate for that? How can cumulative stresses be reduced (e.g., among climate stress and other anthropogenic stresses, which do we have most control over)?"
34,Namuncurá - Banco Burdwood,Management,Reduction of other threats linked to climate resilience,"""Promote the inclusion of conservation measures by the organizations and institutions that regulate the
different current and potential activities (energy, fishing, navigation, mining) carried out in the area."""
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Objectives,Objectives explicitly connected to climate change,"Conserve structure and function especially in context of climate change; other goal to adapt to climate change effects, use renewable energies"
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Objectives,General climate change adaptation,"Anticipating and combating climate
change"
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Objectives,Maintain function/biodiversity in climate change,"The protection of the natural heritage aims to
ensure the resilience of the ecological
processes ensuring the development of wild
species and people. The structural and
functional components of ecosystems are
conserved in order to maintain the services
they provide, particularly in a context of climate
change. The tangible and intangible cultural
heritage, modern and ancient, must be known,
recognised, protected and valued so that the
history and identity of the park are affirmed in
its human dimension."
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Objectives,Reduce emissions; green operations,commit to using renewable energies
35,Coral Sea Natural Park - Atolls d'Entrecasteaux,Design,Adaptive design applied as a climate change strategy,Includes potentially establishing new protected areas to promote resilience
36,Gwaii Haanas National Marine Conservation Area Reserve,Climate,Discusses protection as climate mitigation strategy,"""A key priority is conserving the diversity of species, populations and communities, including their ability to adapt to climate change"""
36,Gwaii Haanas National Marine Conservation Area Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The recovery of herring and many other
species in Gwaii Haanas is influenced
by some factors beyond the control of
the AMB such as climate change. Rising
sea levels, changing ocean conditions
and warming temperatures will affect
productivity, food web dynamics and
species’ ability to respond to change
on land and in the sea. Coastal erosion
has already impacted sensitive
archaeological sites throughout Gwaii
Haanas. Human activities, including
traditionally based use, commercial
fisheries, tourism and vessel traffic, may
be affected by these changes. The AMB
is committed to mitigating and adapting
to the effects of climate change in
Gwaii Haanas."""
36,Gwaii Haanas National Marine Conservation Area Reserve,Objectives,General climate change adaptation,"""A key priority is conserving the diversity of species, populations and communities, including their ability to adapt to climate change."""
36,Gwaii Haanas National Marine Conservation Area Reserve,Objectives,Maintain function/biodiversity in climate change,"""A key priority is conserving the diversity of species, populations and communities, including their ability to adapt to climate change."""
36,Gwaii Haanas National Marine Conservation Area Reserve,Objectives,Reduce emissions; green operations,"""1. Greenhouse gas emissions from Gwaii Haanas operations are reduced by 10% by 2023 and 20% by 2028. 2. Alternative energy sources power all field operations stations by 2020"""
37,Pieh Island Tourism Park (Taman Wisata Perairan Pulau Pieh dan Laut di Sekitarnya),Climate,Discusses protection as climate mitigation strategy,"""That matter threaten human life who depend directly or indirectly on the marine and fisheries sector.
Practice destructive fisheries, pollution, global warming due to activities Humans, and other activities are accused of causing degradation Indonesian marine ecosystem. One solution to save the ecosystem as well as the people who depend on it are establishment of water conservation areas."
37,Pieh Island Tourism Park (Taman Wisata Perairan Pulau Pieh dan Laut di Sekitarnya),Objectives,Objectives explicitly connected to climate change,Regional strategy is focused on protection for resilience to climate change
38,Anambas Islands (KKPN Kepulauan Anambas dan laut Sekitarnya),Objectives,Objectives explicitly connected to climate change,Regional strategy focused on protection for resilience
39,Derawan Islands (KKPD Kepulauan Derawan dan Perairan Sekitarnya),Objectives,Objectives explicitly connected to climate change,Objective is to develop adaptive management for resilience to climate change impacts
44,Komodo National Park,Management,Reduction of other threats linked to climate resilience,global warming threat reduction
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Climate,Discusses protection as climate mitigation strategy,"""Undertake ‘Coastal and Marine Habitats Restoration Programme’,
especially for mangroves, coral reefs, seagrass beds, intertidal zone,
sand dunes, lagoons, etc., so that livelihood opportunities of
coastal communities are enhanced and they are also protected
from impacts of various natural disasters and climate change.""; A healthy
National Park and Biosphere Reserve enhances the resilience of the
ecosystem to adverse impacts of climate change; a resilient ecosystem
reduces the vulnerability of fishing industries and communities that
depend on the Biosphere Reserve."
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Climate,Discusses role of area as carbon sink,"""forms. Reef ecosystems can be compared to rain forests
in terms of their biodiversity and density of living organisms. They
serve as atmospheric carbon dioxide sinks and act as historical
climate recorders."""
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"Acknowledges main threat:  Lack of knowledge to develop better climate change adaptation
plan."
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Objectives,Objectives explicitly connected to climate change,"Management plan outlines a chapter specifically for management actions for climate change adaptation; activities include protecting resilient areas, reducing other stressors, increasing awareness in communities and among policymakers, restoring habitats, and monitoring effects"
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Objectives,General climate change adaptation,Climate change adaptation and mitigation
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Objectives,Improve climate change awareness/education,Raising awareness in local communities to understand and adapt to implications of climate change; encourage action to reduce climate change through providing information to policymakers
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Design,Protect resilient areas,Protect resilient areas
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Design,Increase connectivity (for cc),"""The connections between people and the Marine ecosystem are
especially important in the context of climate change."""
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Design,Adaptive design applied as a climate change strategy,"""The Forest department may be in association with the national
institutions like NIOT and INCOIS can effectively use the tide
and sea level data and climate change predictions to design and
implement the necessary activities that directly benefit to
mitigating, and adapting with climate vulnerabilities."""
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Management,Reduction of other threats linked to climate resilience,"Management plan outlines a chapter specifically for management actions for climate change adaptation; activities include protecting resilient areas, reducing other stressors, increasing awareness in communities and among policymakers, restoring habitats, and monitoring effects"
45,Gulf of Mannar Marine National Park and Biosphere Reserve,Management,Strategy applied specifically for climate change,"Coral reef restoration: already completed restoration project and measured spawning activity and increased biodiversity, artificial reef design for recruitment and biodiversity, and identified corals resilient to climate change effects. Seagrass restoration projects already completed/ongoing - goal of restoring distribution to historical distribution. Mangrove reforestation ""activities where mangrove conservation directly benefit to mitigating, and adapting with climate vulnerabilities"""
46,Alboran Islands,Objectives,Objectives explicitly connected to climate change,"Improve knowledge of climate change - establish effects and predictive scenarios for vulnerable habitat and species, develop actions for adaptation and mitigation"
46,Alboran Islands,Objectives,General climate change adaptation,"Improve knowledge of climate change - establish effects and predictive scenarios for vulnerable habitat and species, develop actions for adaptation and mitigation"
46,Alboran Islands,Objectives,Promote climate change research (or increase cc knowledge),"Improve knowledge of climate change - establish effects and predictive scenarios for vulnerable habitat and species, develop actions for adaptation and mitigation"
46,Alboran Islands,Objectives,Improve climate change awareness/education,"""4.3. Improve the knowledge and
management of the ZEC Alborán in
relation to climate change in the
context of the European Ecological
Network Natura 2000"""
48,Coral Sea Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""that Commonwealth agencies must not take an action that is likely to have an adverse impact on the
heritage values of a place included in either list unless there is no feasible and prudent alternative to
taking the action and all measures that can reasonably be taken to mitigate the impact of the action
on those values are taken and that Commonwealth agencies that own or control places must—"""
48,Coral Sea Marine Park,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
48,Coral Sea Marine Park,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
49,North marine Parks Network,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""that Commonwealth agencies must not take an action that is likely to have an adverse impact on the
heritage values of a place included in either list unless there is no feasible and prudent alternative to
taking the action and all measures that can reasonably be taken to mitigate the impact of the action
on those values are taken and that Commonwealth agencies that own or control places must—"""
49,North marine Parks Network,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
49,North marine Parks Network,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
50,North-west Marine Parks Network,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""that Commonwealth agencies must not take an action that is likely to have an adverse impact on the
heritage values of a place included in either list unless there is no feasible and prudent alternative to
taking the action and all measures that can reasonably be taken to mitigate the impact of the action
on those values are taken and that Commonwealth agencies that own or control places must—"""
50,North-west Marine Parks Network,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
50,North-west Marine Parks Network,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
51,South-east Marine Parks Network,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
51,South-east Marine Parks Network,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
52,South-west Marine Parks Network,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
52,South-west Marine Parks Network,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
53,Temperate East Marine Parks Network,Objectives,Monitoring climate effects and/or indicators,Monitor vulnerabilities of important habitats to climate change
53,Temperate East Marine Parks Network,Assessment,Conducted climate change vulnerability assessment,Objective to monitor vulnerability of habitats to climate change
54,Heard and McDonald Islands Marine Reserve Network,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The effects of climate change may not be
controllable or mitigated to the extent necessary to
retain the Reserve’s existing natural values."""
54,Heard and McDonald Islands Marine Reserve Network,Objectives,Objectives explicitly connected to climate change,Incorporate new info about climate change into reserve management
54,Heard and McDonald Islands Marine Reserve Network,Objectives,Provide natural reference area for climate change,"""The Reserve’s ecosystems and landscape are vulnerable to
further climate change impacts, including: sea level
rise; changes to ocean water chemistry; increases in sea
surface temperature; and the arrival and establishment
of invasive species (Australian National University
2009). Possessing largely intact ecosystems and being
relatively devoid of anthropogenic disturbance, the
Reserve is an excellent indicator of climate change (see
Section 5.5 Research and monitoring)."""
54,Heard and McDonald Islands Marine Reserve Network,Objectives,Promote climate change research (or increase cc knowledge),"""Where practicable, the Director will identify
priorities for and support further research into
the impacts of climate change, and use this
information to explore climate change adaption
strategies for the Reserve (see Section 5.5
Research and monitoring)."""
54,Heard and McDonald Islands Marine Reserve Network,Management,Applied as climate strategy,"""The Reserve’s ecosystems and landscape are vulnerable to
further climate change impacts, including: sea level
rise; changes to ocean water chemistry; increases in sea
surface temperature; and the arrival and establishment
of invasive species (Australian National University
2009). Possessing largely intact ecosystems and being
relatively devoid of anthropogenic disturbance, the
Reserve is an excellent indicator of climate change (see
Section 5.5 Research and monitoring). The impact of
climate change can be lessened by ensuring that the
existing threats to the Reserve’s values are
appropriately monitored and managed."""
55,Parque Nacional Revillagigedo,Climate,Discusses protection as climate mitigation strategy,"Discusses role of the protected area in mitigating effects of climate change by reducing biodiversity loss, acting as carbon sink, protecting ecological processes affecting climate regulation, promoting adaptation through protecting biological corridors that promote genetic exchange, by maintaining and increasing native vegetation cover and wetlands (citing Roberts et al. 2017 and DOF 2012)."
55,Parque Nacional Revillagigedo,Climate,Discusses role of area as carbon sink,"Discusses role of the protected area in mitigating effects of climate change by reducing biodiversity loss, acting as carbon sink, protecting ecological processes affecting climate regulation, promoting adaptation through protecting biological corridors that promote genetic exchange, by maintaining and increasing native vegetation cover and wetlands (citing Roberts et al. 2017 and DOF 2012)."
55,Parque Nacional Revillagigedo,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""To achieve proper management of the different activities carried out within the National Park, especially tourism activities,
it is necessary to ensure that the subzoning responds to and can mitigate the adverse impacts caused by recreational
tourism activities in areas with high demand."""
55,Parque Nacional Revillagigedo,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),"Focused objectives and actions for ensuring conservation in context of climate change - increasing knowledge, identifying stressors, reduce sensitivity, increase adaptive capacity"
55,Parque Nacional Revillagigedo,Objectives,Objectives explicitly connected to climate change,"Promote knowledge about current and potential impacts, actions to reduce sensitivity of ecosystems, actions to increase adaptive capacity - establish baseline and vulnerability of conservation objects, implement effective long-term measures"
55,Parque Nacional Revillagigedo,Objectives,General climate change adaptation,romote actions that contribute to increasing the adaptive capacity of conservation objects of the Revillagigedo National Park.
55,Parque Nacional Revillagigedo,Objectives,Maintain function/biodiversity in climate change,"Discusses role of the protected area in mitigating effects of climate change by reducing biodiversity loss, acting as carbon sink, protecting ecological processes affecting climate regulation, promoting adaptation through protecting biological corridors that promote genetic exchange, by maintaining and increasing native vegetation cover and wetlands (citing Roberts et al. 2017 and DOF 2012)."
55,Parque Nacional Revillagigedo,Objectives,Enhance overall system resilience to climate change,Generate actions to reduce the sensitivity of the National Park's ecosystems to climate change.
55,Parque Nacional Revillagigedo,Objectives,Monitoring climate effects and/or indicators,Promote the generation of knowledge about the current and potential impacts of climate change on the ecosystems of the National Park
55,Parque Nacional Revillagigedo,Objectives,Promote climate change research (or increase cc knowledge),"Encourage studies related to threats and effects of climate change on species, ecosystems, and conservation objects. Assess carbon sequestration and storage capacity of ecosystems."
55,Parque Nacional Revillagigedo,Assessment,Conducted climate change vulnerability assessment,Scientific study evaluated impact of SLR on three islands of the archipelago - used two scenarios (1m and 5m) to evaluate impacts on biodiversity and habitats; full climate vulnerability assessment planned with goals to include relevant adaptation strategies; Stressor: SLR
55,Parque Nacional Revillagigedo,Management,Applied as climate strategy,"Program around prevention, identification, monitoring and eradicaiton of high-impact invasive alien species. Actions to establish baselines for native species, monitor populations, and conduct reintroductions in areas where they have become extinct. Specific mention of these acitons to reduce the sensitivity of the ecosystems to the effects of climate change, considering climate change criteria when instituting control and eradication measures."
55,Parque Nacional Revillagigedo,Management,Strategy applied specifically for climate change,"Specifically to reduce sensitivity of ecosystems by implementing restoration actions that facilitate recovery and maintain ecological functions, promote ecological connectivity (intra- and inter-island, within the Eastern Tropical Pacific). Actions include methods to restore soil to facilitate healthy vegetation growth, actions to reduce soil erosion."
